軌道業者,停車場ID,停車場名稱,緯度,經度,費率資訊,電動車充電樁,地址
TRA,TRAJLY1301,板橋車站地下停車場,25.01531982421875,121.46395874023438,機車:10元/每小時，1天最高收50元，季繳:1800元。汽車﹕40元/每小時，每10小時/200元，月租: 4000元，季繳:10800元，身障季繳: 6000元,有,新北市板橋區縣民大道2段7號 (B1~B3)
TRA,TRAJLY1706,楊梅停1,24.913869857788086,121.14682006835938,機車 30元/日，汽車10元/半小時，每日上限180元，機車月租600元、汽車1800元,無,桃園市楊梅區光前街4號
TRA,TRAJLY1304,板橋府中停車場,25.00802,121.45859,"機車40元/每次,汽車60元/小時(平日),100元(假日)",有,新北市板橋區縣民大道1段193號
TRA,TRAJLY1307,永和大新街停車場,25.00791,121.51841,平日: 50元/時，假日:60元/時,無,新北市永和區大新街109巷2號
TRA,TRAJSY0103,壽豐停一停車場,23.869529724121094,121.51119232177734,"計時:20/小時,24小時上限60",無,花蓮縣壽豐鄉壽山路1號
TRA,TRAJLY2608,基隆停2併入基隆停4,25.13347053527832,121.7359619140625,臨停：每小時20元，當日(7:00-18:00)最高50元。,無,基隆市安樂區中山區西定路98巷16號
TRA,TRAJLY1305,浮洲停車場,25.00469,121.44161,15元/半小時,有,新北市板橋區大觀路1段38巷180號
TRA,TRAJTY0137,竹田汽車停車場,22.587169647216797,120.53984069824219,汽車平日每小時5元 假日每小時10元,無,屏東縣竹田鄉豐明路27號之1
TRA,TRAJTY0146,三鳳自立停車場,22.63888,120.29549,平日15元/半小時，當日最高90元；假日20元/半小時，當日最高120元,有,高雄市三民區三德西街24號
TRA,TRAJSY4004,宜蘭停一停車場,24.75676918029785,121.75843048095703,"計時平日1小時以內60元,1小時以上每半小時30元;月租4000元",有,宜蘭縣宜蘭市宜興路一段332號
TRA,TRAJTY0124,榮帝岡山車站停車場,22.79266,120.29934,"平日08-22時每小時30元，時段最高190元，平日22-08時每小時20元，時段最高60元。假日08-22時每小時40元，時段最高250元，假日22-08時每小時20元，時段最高60元。月租3,000元，季租8,500元，營業時間24小時。",無,岡燕路1號
TRA,TRAJTY0144,高雄停12 (長明街),22.63825,120.31209,每半小時40元(當日連續停放最高收費600元),有,高雄市三民區長明街與長明街38巷口
TRA,TRAJSY4008,羅東停一停車場,24.67702,121.77414,汽車平日每小時30元、12小時上限150元，假日每小時40元、當日最高上限200元；全日月租3000元，機車每小時10元，每日上限30元，全日月租500元。,有,宜蘭縣羅東鎮公正路2號
