縣市,路段ID,路段名稱,緯度,經度,費率資訊,電動車充電樁,位置描述
NewTaipei,V17,水碓景觀公園平面停車場,25.07312514,121.4289955,週一-週五07:00-20:00 收費20元/時,無,水碓景觀公園平面停車場
NewTaipei,T95,信義路,25.01297249,121.5126326,週一-週五07:00-20:00 收費二小時以內30元/時，超過二小時後40元/時,無,信義路
NewTaipei,J62,忠孝路504巷,25.06944735,121.3692361,週一-週五08:00-18:00 收費20元/時,無,忠孝路504巷
NewTaipei,P57,集賢路,25.08937147,121.4905241,週一-週五07:00-20:00 收費20元/時,無,集賢路
NewTaipei,T72,保安路,25.01568857,121.5093077,週一-週五07:00-20:00 收費30元/時,無,保安路
NewTaipei,KA5,裕民路,24.98739972,121.4497899,週一-週五07:00-20:00 收費二小時以內30元/時，超過二小時後40元/時,無,裕民路
NewTaipei,KD3,江翠北側地區時光公園旁,25.03628791,121.4793749,週一-週五07:00-20:00 收費20元/時,無,江翠北側地區時光公園旁
NewTaipei,T65,建康路,25.00021036,121.4859569,週一-週五07:00-20:00 收費30元/時,無,建康路
NewTaipei,K50,溪北路,24.9906566,121.4263688,週一-週五07:00-20:00 收費20元/時,無,溪北路
NewTaipei,T31,中興路一段,24.96245856,121.5412539,週一-週五07:00-20:00 收費20元/時,無,中興路一段
NewTaipei,J30,粉寮路一段,25.07837992,121.3968699,週一-週五08:00-18:00 收費20元/時,無,粉寮路一段
NewTaipei,J54,忠孝一路78巷,25.07363158,121.3625428,週一-週五08:00-18:00 收費20元/時,無,忠孝一路78巷
NewTaipei,T76,保生路,25.00729121,121.5067086,週一-週五07:00-20:00 收費40元/時,無,保生路
NewTaipei,T27,寶中路,24.98069097,121.5479447,週一-週五07:00-20:00 收費20元/時,無,寶中路
NewTaipei,P49,公17連接道路,25.07345254,121.4943551,週一-週五07:00-20:00 收費20元/時,無,公17連接道路
NewTaipei,V05,成洲二路,25.09765001,121.4500949,週一-週五07:00-20:00 收費20元/時,無,成洲二路
NewTaipei,J49,文化三路一段617巷,25.07822515,121.3703896,週一-週五08:00-18:00 收費20元/時,無,文化三路一段617巷
NewTaipei,T13,更生街,24.99622909,121.5217212,週一-週五07:00-20:00 收費30元/時,無,更生街
NewTaipei,L17,樹中街,24.98538089,121.4211395,週一-週五07:00-20:00 收費20元/時,無,樹中街
NewTaipei,V26,凌雲路一段149巷,25.10170237,121.4488946,週一-週五07:00-20:00 收費20元/時,無,凌雲路一段149巷
NewTaipei,P12,中原路,25.08279255,121.4601969,週一-週五07:00-20:00 收費20元/時,無,中原路
NewTaipei,J34,文化三路一段394巷,25.07295668,121.3661681,週一-週五08:00-18:00 收費20元/時,無,文化三路一段394巷
NewTaipei,P71,河邊北街,25.07689998,121.50153,週一-週五07:00-20:00 收費30元/時,無,河邊北街
NewTaipei,L23,俊英街219巷,25.01192849,121.4212988,週一-週五07:00-20:00 收費60元/次,無,俊英街219巷
NewTaipei,I39,中央路四段,24.9584895,121.4199287,週一-週五07:00-20:00 收費20元/時,無,中央路四段
NewTaipei,L24,中山路二段151巷,24.97841218,121.4067002,週一-週五07:00-20:00 收費20元/時,無,中山路二段151巷
NewTaipei,J03,竹林路,25.08475,121.3880116,週一-週五08:00-18:00 收費20元/時,無,竹林路
NewTaipei,Q33,同興路,25.06014584,121.63882,週一-週五07:00-20:00 收費20元/時,無,同興路
NewTaipei,O08,貴鳳街,25.03109499,121.4220128,週一-週五07:00-20:00 收費20元/時,無,貴鳳街
NewTaipei,K48,三民路一段31巷,25.02311211,121.4796675,週一-週五07:00-20:00 收費20元/時,無,三民路一段31巷
NewTaipei,R30,復興路一段,25.04360245,121.4521972,週一-週五07:00-20:00 收費20元/時,無,復興路一段
NewTaipei,K20,龍泉街55巷,25.02466022,121.457911,週一-週五07:00-20:00、例假日及國定假日08:00-18:00 收費30元/時,無,龍泉街55巷
NewTaipei,P66,興德路,25.05247036,121.4692438,週一-週五07:00-20:00 收費20元/時,無,興德路
NewTaipei,TA0,新民街,25.00827384,121.4804543,週一-週五07:00-20:00 收費20元/時,無,新民街
NewTaipei,J48,行政園區旁平面停車場,25.06963541,121.3643625,週一-週五08:00-18:0020元/時、例假日及國定假日08:00-20:00 收費30元/時,無,行政園區旁平面停車場
NewTaipei,L26,八德街,24.96995439,121.3987304,週一-週五07:00-20:00 收費每次四小時30元/次,無,八德街
NewTaipei,T17,中正路,24.99360747,121.5019311,週一-週五07:00-20:00 收費20元/時,無,中正路
NewTaipei,L18,東豐街,24.97361422,121.4116593,週一-週五07:00-20:00 收費20元/時,無,東豐街
NewTaipei,L09,長壽街,24.99485695,121.4207034,週一-週五07:00-20:00 收費20元/時,無,長壽街
NewTaipei,P01,中正路,25.08279473,121.4707696,週一-週五07:00-20:00 收費20元/時,無,中正路
NewTaipei,P16,永樂街,25.08864474,121.456567,週一-週五07:00-20:00 收費20元/時,無,永樂街
NewTaipei,B23,佳園路三段,24.94408738,121.3828254,週一-週五07:00-20:00 收費20元/時,無,佳園路三段
NewTaipei,M08,育智路,24.95489414,121.3450705,例假日及國定假日07:00-20:00 收費20元/時,無,育智路
NewTaipei,T91,仁愛路,25.00948861,121.5054971,週一-週五07:00-20:00 收費30元/時,無,仁愛路
NewTaipei,R14,雙鳳路,25.02728388,121.4157411,週一-週五07:00-20:00 收費20元/時,無,雙鳳路
NewTaipei,R52,昌平街,25.05207813,121.4547995,週一-週五07:00-20:00 收費20元/時,無,昌平街
NewTaipei,K03,三民路一段,25.02216707,121.4794397,週一-週五07:00-20:00 收費30元/時,無,三民路一段
NewTaipei,K24,漢生東路,25.00717957,121.4721434,週一-週五07:00-20:00 收費20元/時,無,漢生東路
NewTaipei,K21,文化路二段182巷,25.02752556,121.4708554,週一-週五07:00-20:00 收費二小時以內30元/時，超過二小時後40元/時,無,文化路二段182巷
NewTaipei,R50,壽山路,25.02979317,121.4190354,週一-週五07:00-20:00 收費20元/時,無,壽山路
NewTaipei,K98,中正路379巷3弄,25.02048477,121.4519554,週一-週五07:00-20:00 收費20元/時,無,中正路379巷3弄
NewTaipei,H46,中正東路二段25巷,25.15752064,121.459479,週一-週五07:00-20:00 收費60元/次,無,中正東路二段25巷
NewTaipei,KC4,漢生東路193巷,25.01192608,121.4715863,週一-週五07:00-20:00 收費30元/時,無,漢生東路193巷
NewTaipei,T79,吉安街,24.96581056,121.5164517,週一-週五07:00-20:00 收費20元/時,無,吉安街
NewTaipei,K86,明德路一段,24.98371247,121.4654495,週一-週五07:00-20:00 收費20元/時,無,明德路一段
NewTaipei,K13,中正路372巷,25.02361716,121.4555468,週一-週五07:00-20:00 收費20元/時,無,中正路372巷
NewTaipei,J07,文化二路一段,25.071354,121.3682917,週一-週五08:00-18:00 收費20元/時,無,文化二路一段
NewTaipei,K90,板城路,25.01368269,121.450095,週一-週五07:00-20:00 收費20元/時,無,板城路
NewTaipei,KC1,福祥街,24.98077008,121.4411963,週一-週五07:00-20:00 收費20元/時,無,福祥街
NewTaipei,P73,民族路408巷,25.09165883,121.4746509,週一-週五07:00-20:00 收費60元/次,無,民族路408巷
NewTaipei,B14,學府路,24.95118212,121.3834079,週一-週五07:00-20:00 收費20元/時,無,學府路
NewTaipei,P72,富貴街,25.09048542,121.4899252,週一-週五07:00-20:00 收費20元/時,無,富貴街
NewTaipei,KA4,學府路一段,24.98688899,121.4546006,週一-週五07:00-20:00 收費20元/時,無,學府路一段
NewTaipei,K25,國光路,25.01856458,121.4619379,週一-週五07:00-20:00 收費30元/時,無,國光路
NewTaipei,P09,中央路,25.08289418,121.4735091,週一-週五07:00-20:00 收費20元/時,無,中央路
NewTaipei,K29,實踐路,25.00447521,121.4641662,週一-週五、例假日及國定假日07:00-21:00 收費30元/時,無,實踐路
NewTaipei,P11,長樂路,25.091475,121.4628576,週一-週五07:00-20:00 收費20元/時,無,長樂路
NewTaipei,K88,仁愛路,24.9784415,121.4625729,週一-週五07:00-20:00 收費20元/時,無,仁愛路
