縣市,停車場ID,停車場名稱,緯度,經度,費率資訊,電動車充電樁,地址
Tainan,SWC-05001,北門第二停車場小客車,23.2692,120.12,免費,無,臺南市北門區台南市舊埕
TaitungCounty,EC-00012,三仙台風景區停車場,23.122589111328125,121.4076919555664,平日(大型車170、小型車50、機車15)、假日(大型車200、小型車60、機車20),無,臺東縣成功鎮基翬路87號
Tainan,SWC-06001,馬沙溝濱海遊憩區停車場,23.218429565429688,120.08416748046875,免費,有,臺南市將軍區平沙里13鄰平沙140號
Tainan,SRY-00004,觀專二停車場,23.3365,120.50443,免費,無,臺南市白河區溫泉段546、577地號
NantouCounty,SML-sml_cs0001,日月潭纜車站停車場,23.85224,120.93575,大、小客車150元／機車30元,無,"23.85224,120.93575"
Kaohsiung,ML-00013,新威遊客中心第三停車場,22.90579,120.56178,免費,無,高雄市六龜區新威里新威遊客中心
PingtungCounty,D00006,鵬村濕地停車場,22.449810028076172,120.49990844726562,免費,無,屏東縣東港鎮大潭路40-100號
ChiayiCounty,ALI-00008,奮起湖第3停車場,23.50143051147461,120.5994873046875,15元/0.5H，當日最高150元,無,嘉義縣竹崎鄉604
TaitungCounty,ERV303,鹿野高台大草皮停車場,22.915939331054688,121.12210083007812,免費,無,臺東縣鹿野鄉高台路42巷105弄19號旁
PingtungCounty,MAOL07,涼山遊憩區停車場,22.68623924255371,120.6379165649414,50元/計次(8時-17時),無,屏東縣瑪家鄉涼山村涼山14-20號
Kaohsiung,ML-00011,新威遊客中心第一停車場,22.89094,120.62288,免費,無,高雄市六龜區新威里新威171號
Kaohsiung,ML-00014,桃源38甲櫻花公園,23.223446182921,120.8572750737126,無,無,高雄市桃源區荖濃溪林道寶山巷
PingtungCounty,DPB-00023,鵬灣跨海大橋(嘉蓮端)停車場,22.450849533081055,120.4561767578125,無,無,屏東縣東港鎮大鵬里大潭路169 號
HsinchuCounty,TRIM-00001,獅山遊客中心停車場,24.655059814453125,121.02467346191406,免費,無,新竹縣峨眉鄉七星村六寮60-8號
PenghuCounty,PH-20005,通梁橋頭停車場,23.65842056274414,119.55486297607422,無收費,無,澎湖縣白沙鄉通梁193號
ChiayiCounty,SWC-01402,布袋海景公園小客車B區停車場,23.37829,120.14804,免費,無,嘉義縣布袋鎮海興街12號附近
HualienCounty,EC-00038,花蓮遊客中心停車場,23.90475082397461,121.60298919677734,免費,無,花蓮縣壽豐鄉壽豐綁鹽寮村大坑5號
Tainan,SWC-03001,北門遊客中心大客車停車場,23.26659,120.12393,免費,無,臺南市北門區北門里舊埕200號
NewTaipei,NCG-I0010,楓櫃斗湖登山步道口,25.129480361938477,121.41905212402344,免費,無,新北市五股區凌雲路三段130號遊客中心後方
ChiayiCounty,ALI-00010,鞍頂停車場,23.418880462646484,120.5889892578125,20元/0.5H，最高上限300,無,嘉義縣番路鄉77
NantouCounty,SML012,朝霧停車場,23.86881,120.91658,限停小型車每小時收費40元，夜間時段(20:00至 翌日08:00)優惠最高收費NT300元，（停車時數如不逾30分鐘者，以半小時計算；如逾30分鐘者，仍以1小時計算收費。）；機車每小時收費10元。,無,555南投縣魚池鄉中山路31號
ChiayiCounty,ALI-00001,觸口遊客中心停車場,23.446090698242188,120.58486938476562,0元,無,嘉義縣番路鄉觸口村車埕51號
PingtungCounty,d00002,崎峰濕地停車場,22.430309295654297,120.49040222167969,無,無,屏東縣東港鎮林邊鄉成功路600號
Tainan,SWC-05002,北門第二停車場機車,23.26916,120.11991,免費,無,臺南市北門區北門里舊埕
NantouCounty,SML-p0003,文武廟停車場,23.87021,120.92704,免費,無,"23.87021,120.92704"
HualienCounty,EC-00032,秀姑巒溪遊客中心停車場,23.488239288330078,121.40164184570312,免費,無,花蓮縣瑞穗鄉中山路三段215號
NewTaipei,NCG-40805,翡翠灣停車場(龜吼石角海濱),25.19116973876953,121.68524169921875,每次50元,無,新北市萬里區石角路33號對面
NewTaipei,neyc02,鼻頭港服務區停車場,25.123849868774414,121.91255950927734,大客車：50元/次、小客車：50元/次、機車：20元/次,無,新北市瑞芳區鼻頭里鼻頭路245之1號(濱海公路86K+700m處海側)
