縣市,停車場ID,停車場名稱,緯度,經度,費率資訊,電動車充電樁,地址
NewTaipei,130053,日新街停車場,24.987857,121.444294,小型車計時50元;小型車月租4000元;,未提供,新北市土城區日新街36號旁空地
NewTaipei,060032,停車易商行民權停車場,24.982512,121.540977,小型車計時50元;小型車計時60元;小型車月租6000元;,未提供,新北市新店區民權路31~37號B1/1~8、12、13及16~51號車位
NewTaipei,050198,冠德泰景停車場,25.049758,121.462647,小型車月租6000元;機車月租500元;,未提供,新北市新莊區幸福東路128號B1、B2/機車為B1樓層1~70號車格
NewTaipei,270003,金包里老街停車場,25.220514,121.639194,小型車計時每3小時100元;,未提供,新北市金山區中山路134號
NewTaipei,090049,祥耀停車場,24.932609,121.375102,小型車計時40元;,未提供,新北市三峽區中華路8號對面
NewTaipei,110091,連成停車場,25.071748,121.66352,大型車月租5000元;,未提供,新北市汐止區和平街6巷5弄2號旁空地
NewTaipei,030069,吉拾停車場景平場,24.99236,121.516236,小型車計時60元;小型車月租5000元;,未提供,新北市中和區景平路168-202號B4/A6~8、28~37、40、50~53、56~60、62~64、68~74、89~102及B5~8、27~38、54~67、71~75、88~102車格位
NewTaipei,220002,富基漁港臨時停車場,25.291214,121.534911,小型車計時30元;小型車計次40元;,未提供,石門區富基里楓林15-16號旁
NewTaipei,110073,上洲停車場,25.06683,121.63267,小型車計時40元;小型車月租3000元;,未提供,新北市汐止區福德二路79號對面
NewTaipei,060128,大潤發碧潭店停車場,24.961954,121.537239,小型車計時100元;,未提供,新北市新店區環河路22號B2/1~139及141~201號車格
NewTaipei,050102,中信國小收費停車場,25.0518,121.448311,小型車月租3000元;,未提供,新 北市新莊區中信街168號B1
NewTaipei,080044,鳳民停車場,24.974748,121.329335,小型車月租2500元;,未提供,新北市鶯歌區鳳福路鳳福公園旁
NewTaipei,170049,南方沐林收費停車場,25.076921,121.35694,小型車計時50元;機車計時30元;,未提供,新北市林口區南勢街322號B1/62~70、115~118號車格，機車1~37號及B2/1~16、55~61號車格
NewTaipei,090053,詮營停車第二停車場,24.936644,121.362424,小型車計時50元;小型車月租4000元;機車計次20元;,未提供,新北市三峽區中山路257巷16號對面空地
NewTaipei,110008,汐止區行政中心公有停車場,25.063811,121.659119,小型車計時20元;小型車月租2500元;,未提供,新北市汐止區新台五路一段268號B1、B2
NewTaipei,020023,集美國民小學地下停車場,25.056067,121.488196,"小型車月租4000元;小型車月租3200元;小型車月租1700元;小型車月租1,200元;",未提供,新北市三重區集美街10號B1
NewTaipei,110093,台灣聯通社后停車場,25.069012,121.630947,小型車計時30元;小型車月租3000元;機車計時10元;機車月租800元;,未提供,新北市汐止區康寧街459巷13號B1/353~396號汽車格、1~125號機車格及B2/239~305、311~320、352號汽車格
NewTaipei,140064,Times蘆洲永平街停車場,25.092562,121.460031,小型車計時80元;小型車月租8000元;,未提供,新北市蘆洲區永平街32巷55號對面
NewTaipei,030029,新北市光復國小月租地下停車場,25.014766,121.483247,小型車月租1000元;,未提供,新北市中和區光環路2段1號B2
NewTaipei,010028,新北市立大觀國民中學停車場,25.011119,121.448512,小型車月租2700元;,未提供,新北市板橋區僑中一街1號B1
NewTaipei,060071,新北市立圖書館捷運新店線大坪林站(捷六)新天地大樓B2停車場,24.982282,121.540996,小型車月租4000元;,未提供,新北市新店區北新路3段105巷2號B2/52~64及66、67號車格位
NewTaipei,130086,新代田地下停車場,24.983816,121.465605,小型車計時40元;小型車月租6000元;機車計次20元;機車月租600元;,未提供,新北市土城區明德路1段71號B1/1~85號機車位及B2~B3之1~85號車格位
NewTaipei,050087,宜家家居股份有限公司新莊分公司停車場,25.041421,121.464763,小型車計時100元;機車計時10元;,未提供,新北市新莊區中正路1號B1~B3
NewTaipei,050160,昌鑫停車場有限公司中央站,25.05867,121.44774,大型車計時100元;大型車月租6000元;小型車計次200元;小型車月租3000元;,未提供,新北市新莊區中央路與中信街交叉口
NewTaipei,010253,宏達經營管理顧問有限公司華江二停車場,25.036182,121.474151,小型車計時50元;小型車月租5000元;,未提供,新北市板橋區華江三路與華江二路交叉口往華江五路方向約100公尺
