停車場ID,停車場名稱,地址,即時剩餘車位
160019,武泰臻和停車場,新北市泰山區明志路2段125號B3,-9
050230,好市多新莊店第二停車場,新北市新莊區建國一路138號旁空地,-9
010264,江翠3號機車地下停車場,新北市板橋區文化路2段278號B1,43
050233,副都68停車場,新北市新莊區富貴路156號旁,-9
010171,叭叭房新板大樓停車場,新北市板橋區中山路1段141號B3,0
110095,Times汐止秀峰路停車場,新北市汐止區秀峰路119號旁,-9
050213,博客停車場開發股份有限公司藏壽司思源場停車場,新北市新莊區思源路168號,-9
030146,豪庭電機股份有限公司全聯中和新生店停車場,新北市中和區新生街255號,-9
020192,二重公園地下停車場,新北市三重區疏洪東路2段131號B1、B2,42
070050,三多停車場(樹林),新北市樹林區三多路123號對面,-9
010150,新店安坑停車場(正承),新北市新店區安民街與安興路口,-9
020222,太平洋三站停車場,新北市三重區重新路5段609巷10號B2,-9
110096,USPACE汐止工建停車場,新北市汐止區工建路153號旁,-9
030101,雙和醫院第一醫療大樓地下停車場,新北市中和區中正路291號B1~B2,17
030102,雙和醫院第二醫療大樓地下停車場,新北市中和區中正路291號B2~B5,0
230026,宏達經營管理顧問有限公司八里停車場,新北市八里區中山路2段406巷19號對面空地,-9
040076,Times永和大新街停車場,新北市永和區大新街50-1號旁,-9
100053,USPACE正大竹圍停車場,新北市淡水區民權路27號前棟5樓頂,-9
140060,修紳停車場,新北市蘆洲區國道路2段90號A區停車場,-9
060143,Times新店央北二啟文停車場,新北市新店區央北二路、啟文路及合記街口,-9
050186,車堡寶實業股份有限公司新莊光明場停車場,新北市新莊區民安西路172巷6弄20號旁空地,-9
020107,光武停車場,新北市三重區車路頭街151號旁空地,-9
010039,板橋區臺北紙廠臨時平面停車場,新北市板橋區大觀路2段28號,69
020223,RightHereParking瑞誼停車場,新北市三重區捷運路77之1、77之2號B1~B4,-9
140003,蘆洲區中山機械停車場,新北市蘆洲區得勝街107號,18
170053,致和停車場,新北市永和區環河東路4段20號對面堤防外高灘地,-9
110097,麟旺樟樹灣停車場,新北市汐止區樟樹一路97號對面空地,-9
080048,城市車旅鶯歌鳳鳴停車場,新北市鶯歌區鳳鳴路與龍五路交叉口,-9
040026,双和停車場,新北市永和區中和路305巷口西側旁空地,-9
070033,圳福收費停車場,新北市樹林區樹新路250-1號旁,-9
030066,中和二平面停車場,新北市中和區中和路230巷27號對面空地,-9
020225,Times三重捷運路第5停車場,新北市三重區捷運路22巷21號旁停車場,-9
